,N°,Ministère (Client),Code NAF,SIREN,Direction,Date prévisionnelle d'entrée dans le marché,Fournisseur actuel d'électricité,Identification des sites_NOM DU SITE,Identification des sites_ADRESSE,Identification des sites_CODE POSTAL,Identification des sites_VILLE,Identification des sites_SIRET,Identification des sites_RAE,Identification des sites_TYPE DE TARIF_Tarif - Option - Version (TOV),Identification des sites_TENSION DE RACCORDEMENT_Basse tension (BT) ou HTA1 (20 kV),Puissances-souscrite_P,Puissances-souscrite_HPH,Puissances-souscrite_HCH,Puissances-souscrite_HPE,Puissances-souscrite_HCE,Puissances-souscrite_HH(EJP),Puissances-souscrite_P(EJP),Puissances-max_P,Puissances-max_HPH,Puissances-max_HCH,Puissances-max_HPE,Puissances-max_HCE,Puissances-max_HH(EJP),Puissances-max_P(EJP),CA(kWh)_P,CA(kWh)_HPH,CA(kWh)_HCH,CA(kWh)_HPE,CA(kWh)_HCE,CA(kWh)_HH(EJP),CA(kWh)_P(EJP),CA(kWh)_TOTAL,Electricité verte,Référence de la base de données immobilière du site concerné par le point de livraison_N° chorus Re-FX,Evénements de nature à modifier les prévisions de consommation_Pérennité du site (oui/non),Evénements de nature à modifier les prévisions de consommation_Variabilité (oui/non),Evénements de nature à modifier les prévisions de consommation_Ecart en % en + ou en -(ex : + 10 % ou - 5 %),Evénements de nature à modifier les prévisions de consommation_Date et commentaires
0,1,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP -BX -  CD MAUZAC,NOUVEL ETABLISSEMENT 24150 MAUZAC ET GRAND CASTANG,24150,MAUZAC ET GRAND CASTANG,17330120100153.0,30001620188613,TARIF VERT A5 - OPTION BASE LU,HTA 5P (2),320,320.0,320.0,320.0,320.0,,,361.0,317.0,185.0,298.0,147.0,,,50292.0,234212.0,172974.0,307140.0,174980.0,,,939598.0,NON,121743/384604,OUI,NON,,
1,2,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP -BX – CD EYSSES,1 RUE PIERRE DOIZE BP 315 47300 VILLENEUVE SUR LOT,47300,VILLENEUVE SUR LOT,17330120100120.0,30001630205962,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),320,320.0,320.0,320.0,320.0,,,361.0,373.0,302.0,278.0,200.0,,,78282.0,365128.0,281394.0,373637.0,246388.0,,,1344829.0,NON,102776/169149,OUI,OUI,,Travaux de rénovation en cours
2,3,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP -BX -  CP BORDEAUX GRADIGNAN ,- BAT A 36 RUE DU BOURDILLAT BP 109 33170 GRADIGNAN,33170,GRADIGNAN,17330120100641.0,30001610319785,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),280,300.0,300.0,300.0,300.0,,,370.0,330.0,245.0,318.0,211.0,,,62881.0,291629.0,235544.0,359943.0,242211.0,,,1192208.0,NON,115924/188873,OUI,NON,,
3,4,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP –BX -MC ST MARTIN DE RE,LA CITADELLE 17410 ST MARTIN DE RE,17410,ST MARTIN DE RE,17330120100187.0,30001520465808,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),450,450.0,450.0,450.0,450.0,,,296.0,287.0,204.0,221.0,156.0,,,58050.0,279577.0,200482.0,303307.0,161546.0,,,1002962.0,NON,128538/184195,OUI,NON,,
4,5,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON CENTRALE CLAIRVAUX,DE CLAIRVAUX 10310 VILLE SOUS LA FERTE,10310,VILLE SOUS LA FERTE,17210120600164.0,30000450232843,TARIF VERT A5 - OPTION BASE LU,HTA 5P (2),460,460.0,460.0,460.0,460.0,,,258.0,254.0,222.0,195.0,152.0,,,56238.0,258551.0,216245.0,267613.0,194896.0,,,993543.0,NON,,OUI,NON,,
5,6,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON CENTRALE- ST MAUR,BEL AIR 36250 ST MAUR,36250,ST MAUR,17210120600552.0,30001760158747,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),550,590.0,590.0,590.0,590.0,,,554.0,560.0,388.0,469.0,284.0,,,102365.0,490027.0,344187.0,635901.0,354422.0,,,1926902.0,NON,,OUI,NON,,
6,7,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,JUSTICE- VAL DE REUIL- MAISON D'ARRET (02994),LES VIGNETTES 27100 VAL DE REUIL,27100,VAL DE REUIL,17590120600250.0,30000220299483,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),870,870.0,870.0,870.0,870.0,,,876.0,811.0,666.0,793.0,565.0,,,192485.0,949441.0,673777.0,1203930.0,712212.0,,,3731845.0,NON,,OUI,NON,,
7,8,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON D'ARRET,85 AVENUE DE LA DEFENSE PASSIVE 80080 AMIENS,80080,AMIENS,17590120600169.0,30000160137206,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),280,280.0,280.0,280.0,280.0,,,267.0,257.0,202.0,249.0,167.0,,,41952.0,219669.0,131359.0,331210.0,163927.0,,,888117.0,NON,,OUI,NON,,
8,9,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,JUSTICE- ROUEN- MAISON D'ARRET (03280),1 RUE DE LA MOTTE 76100 ROUEN,76100,ROUEN,17590120600193.0,30000210328076,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),400,400.0,400.0,400.0,400.0,,,457.0,449.0,385.0,430.0,369.0,,,90332.0,426622.0,283596.0,592959.0,318281.0,,,1711790.0,NON,,OUI,NON,,
9,10,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,PRISON-M.A. DE GRENOBLE,. 38760 VARCES ALLIERES ET RISSET,38760,VARCES ALLIERES ET RISSET,17690120500144.0,30001930387556,TARIF VERT A5 - OPTION BASE MU,HTA SDT (2),250,250.0,250.0,250.0,250.0,,,242.0,243.0,207.0,201.0,165.0,,,53354.0,253397.0,213134.0,289762.0,202315.0,,,1011962.0,NON,,OUI,NON,,
